城市,AQI,PM2.5,PM10,CO,NO2,O3/1h,O3/8h,SO2
佳木斯,7,3,6,0.44,5,9,10,4
三亚,9,3,6,0.4,11,16,16,3
南通,11,6,10,0.44,15,18,17,12
中山,11,3,6,0.57,12,23,21,3
惠州,12,5,10,0.54,11,27,23,5
东莞,13,6,12,0.68,23,14,7,6
黑河,13,5,12,0.27,7,12,11,3
呼伦贝尔,13,7,12,0.5,5,17,20,2
宁波,13,6,12,0.48,17,20,25,5
莆田,13,4,12,0.5,5,36,23,4
伊春,13,5,12,0.47,5,15,14,11
常熟,14,8,10,1.03,26,21,27,6
揭阳,14,4,11,0.78,6,33,27,4
黔西南州,14,5,13,0.4,14,36,23,11
西双版纳州,14,6,13,0.35,5,15,6,5
湛江,14,6,13,0.57,10,34,22,5
大兴安岭地区,15,10,5,0.5,9,26,26,10
广州,15,8,14,0.66,27,11,8,5
嘉兴,15,10,11,0.5,14,24,29,4
临夏州,15,9,14,0.65,17,46,21,15
茂名,15,4,12,0.6,13,26,28,4
南平,15,4,13,0.23,3,38,29,4
丹东,16,9,13,0.48,9,36,31,5
佛山,16,6,15,0.57,25,16,11,4
福州,16,4,15,0.77,8,27,19,4
汕头,16,3,7,0.47,7,36,30,6
双鸭山,16,8,15,0.3,4,6,5,4
台州,16,5,12,0.33,11,33,31,5
厦门,16,4,9,0.33,7,35,30,3
舟山,16,4,14,0.4,16,23,31,2
龙岩,17,7,16,0.57,13,20,12,6
上海,17,3,12,0.47,17,24,33,3
兴安盟,17,7,15,0.13,5,54,32,2
潮州,18,6,17,0.63,8,31,22,6
崇左,18,7,17,0.7,7,29,23,5
定西,18,5,17,0.65,20,44,25,5
红河州,18,11,17,0.47,4,45,33,11
林芝地区,18,4,16,0.35,6,51,35,3
文登,18,2,17,0.25,6,30,24,2
文山州,18,3,5,0.45,10,51,35,4
北海,19,2,13,0.4,6,40,36,6
毕节,19,7,15,0.35,5,58,22,7
大连,19,9,18,0.44,13,31,33,6
海门,19,11,16,0.57,16,29,36,5
普洱,19,8,18,0.4,8,25,17,6
温州,19,8,18,0.38,15,38,23,5
阳江,19,5,11,0.8,9,35,36,4
柳州,20,9,19,0.63,9,44,33,5
梅州,20,6,19,0.67,12,26,19,6
濮阳,20,4,10,0.48,12,63,32,2
黔南州,20,7,14,0.7,6,61,36,6
清远,20,8,19,0.57,17,29,22,6
汕尾,20,9,18,0.37,3,43,39,7
塔城地区,20,14,19,0.7,4,55,38,5
太仓,20,3,6,0.5,13,30,39,6
玉溪,20,13,19,0.53,16,39,31,7
阿勒泰地区,21,6,7,1.1,8,48,41,2
楚雄州,21,12,18,0.6,11,48,40,6
固原,21,5,6,0.63,10,57,40,6
昆山,21,0,5,0.6,14,30,40,6
三明,21,5,20,0.55,12,29,20,5
云浮,21,11,20,0.57,12,22,13,10
张家港,21,14,20,0.75,25,41,21,8
肇庆,21,12,20,0.43,18,31,20,11
珠海,21,3,6,0.48,10,44,40,2
